664	Course	0	Wind energy	Techincal university of Denmark	1	Months	2021-11-05	14-21-01-8345	N/A	N/A	N/A
666	Course	0	Energy transition innovation towards a low carbon future	IFP School	1	Months	2021-11-05	14-21-01-8345	N/A	N/A	N/A
667	Course	0	Computational Fluid Dynamics	NED Academy	1	Months	2021-11-05	14-21-01-8345	N/A	N/A	N/A
668	Course	0	Circuit Desining Competition	N/A	1	Days	2017-08-30	14-20-08-0440	1	N/A	N/A
669	Course	0	Open Mic Speak Fest	HM	1	Days	2017-01-30	14-20-08-0440	N/A	N/A	N/A
670	Course	0	Spec Robo Maze	N/A	1	Days	2017-12-30	14-20-08-0440	1	N/A	N/A
671	Degree	50	B.Tech Electronics	Preston Institute	3	Years	2007-07-30	14-20-08-6977	N/A	\N	Electronics
673	Course	0	Training on Alternate Energy	Systek Pvt Ltd	1	Months	2010-12-30	14-21-05-5521	N/A	N/A	N/A
558	Course	0	Star Series Certified Specialist	AEC Italy	1	Days	2006-06-09	14-21-05-5521	N/A	N/A	N/A
675	Course	0	Data Science and Machine Learning	Harvard University Online	7	Days	2019-12-30	14-20-08-0303	N/A	N/A	N/A
676	Course	0	Machine Learning	Stanford Univeristy Online	7	Days	2018-12-30	14-20-08-0303	N/A	N/A	N/A
677	Course	0	Object Oriented Programming	Virtual University	7	Days	2013-12-30	14-20-08-0303	N/A	N/A	N/A
678	Degree	60	ME	NED UET	4	Years	2020-09-30	14-21-07-1905	3.89	\N	ME
679	Course	0	Wind energy	Technical Univeristy of Denmark	7	Days	2021-11-05	14-21-07-1905	N/A	N/A	N/A
568	Degree	25	SSC Science	GOVT HSS	2	Years	2010-02-02	14-21-05-0575	1ST	\N	Science
680	Degree	35	Commerce	BIEK	2	Years	2021-11-05	14-21-08-3525	N/A	\N	Commerce
681	Degree	60	ME	NUST PNEC	4	Years	2023-08-30	14-21-05-1391	3.71	\N	ME
621	Degree	60	BE Mechanical Engineering	NED University	4	Years	2020-10-25	14-21-01-8345	3.82	\N	Mechanical
610	Degree	60	Bachelor of Arts	Karachi University	2	Years	1997-08-01	14-20-12-4053	1st	\N	Management
634	Degree	30	SSC	Ibrahim Ali Bhai Secondary School	2	Years	1999-06-07	14-20-06-9295	B	\N	Arts
623	Degree	50	DAE	Govt Polytechnic Institute of Asu Goth	3	Years	2019-10-04	14-21-05-7969	A	\N	Mechanical
647	Degree	30	Matriculation	Technical High School	4	Years	2005-05-12	14-20-12-6095	c	\N	science
